,author,quote
1359,Chandler,"Well, y'know, I had some trouble with it at first too, but the way I look at it is, I get all the good stuff: all the fun, all the talking, all the sex; and none of the responsibility. I mean, this is every guy's fantasy!"
1372,Chandler,Are we greeting each other this way now? 'Cause I like that.
1383,Chandler,"Thank God you didn't try to fan out the magazines. I mean, she'll scratch your eyes right out."
1395,Chandler,"Someone's left a glass on the coffee table. There's no coaster. It's a cold drink, it's a hot day. Little beads of condensation are inching their way closer and closer to the surface of the wood..."
1411,Chandler,"Oh no, it's terrific, it's... it's... y'know, you deserve this, after all your years of struggling, you've finally been able to crack your way into showbusiness."
1420,Chandler,Where's Joey? His mom's on the phone.
1425,Chandler,"Oh, that would be Monica. Hey, listen, I wanna borrow a coupla things, Aurora spent the night, I really wanna make her breakfast."
1444,Chandler,"God, I love these fingers..."
1446,Chandler,"No, actually I meant my fingers. Look at 'em, look at how happy they are."
1454,Chandler,"Well, I thought- I thought you talked to Rick."
1456,Chandler,"What, Ethan? He got to spend the whole day with you!"
1458,Chandler,"I know there'll be many moments in the years to come when I'll regret asking the following question, but- And Andrew is?"
1460,Chandler,"Oh, so what you're saying is you're not completely fulfilled by Rick, Ethan and myself?"
1462,Chandler,"Well, y'know, most women would kill for three guys like us."
1466,Chandler,"Nono, just you."
1468,Chandler,Lose the other guys.
1470,Chandler,"C'mon, we're great together, why not?"
1472,Chandler,"...Well, y'know, part of me wants that, but it's like I'm two guys, y'know? I mean, one guy's going 'Shut up! This is great!' But there's this other guy. Actually it's the same guy that wells up every time that Grinch's heart grows three sizes and breaks that measuring device... And he's saying, y'know, 'This is too hard! Get out! Get out!'"
1474,Chandler,"I don't know, I-I have to listen to both of them, they don't exactly let each other finish..."
1476,Chandler,...The second guy.
1478,Chandler,"Sorry, the first guy runs the lips."
1491,Chandler,Something so sweet and...disturbing about that.
1508,Chandler,"Oh, great. This is just..."
1515,Chandler,"Oh my God, it's that Victoria's Secret model. Something... something Goodacre."
1518,Chandler,Jill says vestibule... I'm going with vestibule.
1520,Chandler,"Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was some guy."
1526,Chandler,"Alright, alright, alright. It's been fourteen and a half minutes and you still have not said one word. Oh God, do something. Just make contact, smile!"
1527,Chandler,There you go!
1528,Chandler,You're definitely scaring here.
1532,Chandler,"Hey, it's me."
1536,Chandler,I'm trppd... in an ATM vstbl... wth Jll Gdcr!
1540,Chandler,I'm trppd... in an ATM vstbl... wth JLL GDCR.
1542,Chandler,"Yeah, like that thought never entered my mind."
1599,Chandler,"Um, is it sugarless?"
1601,Chandler,"Oh, then no thanks. What the hell was that? Mental note: If Jill Goodacre offers you gum, you take it. If she offers you mangled animal carcass, you take it."
1733,Chandler,"Yes. Yes, thanks for letting me use your phone... and for saving my life."
1735,Chandler,"Hi, um, I'm account number 7143457. And, uh, I don't know if you got any of that, but I would really like a copy of the tape."
1736,Chandler,Dehydrated Japanese noodles under fluorescent lights... does it get better than this?
1738,Chandler,"Ah, y'see, perfect might be a problem. Had you said 'co-dependent', or 'self-destructive'..."
1742,Chandler,He's a he?
1744,Chandler,"...Couldn't enjoy a cup of noodles after that. I mean, is that ridiculous? Can you believe she actually thought that?"
1748,Chandler,"Huh. Did, uh... any of the rest of you guys think that when you first met me?"
1753,Chandler,You're kidding! Did you tell her I wasn't?
1755,Chandler,"Well, this is fascinating. So, uh, what is it about me?"
1757,Chandler,"Ross is smart and funny, d'you ever think that about him?"
1759,Chandler,WHAT IS IT?!
1762,Chandler,"Oh, oh, a quality, good, because I was worried you guys were gonna be vague about this."
1800,Chandler,"I just have to know, okay. Is it my hair?"
1836,Chandler,"No, nono, don't- don't worry about it. Believe me, apparently other people have made the same mistake."
1838,Chandler,"So, uh... what do you think it is about me?"
1840,Chandler,"...Quality, right, great."
1842,Chandler,"Lowell? Financial Services' Lowell, that's who you saw me with?"
1844,Chandler,"Well, yeah... 's'no Brian in Payroll."
1846,Chandler,"No! Uh, I d'know! The point is, if you were gonna set me up with someone, I'd like to think you'd set me up with someone like him."
1848,Chandler,Excuse me? You don't think I could get a Brian? Because I could get a Brian. Believe you me. ...I'm really not.
1878,Chandler,"Well, don't we look nice all dressed up?...It's stuff like that, isn't it?"
1882,Chandler,"Nothing, just your overcoat sounds remarkably like Brent Mussberger."
1884,Chandler,You're watching a football game at a funeral?
1886,Chandler,"You are a frightening, frightening man."
1901,Chandler,"Hi, I'm Chandler, and I have no idea who Dorothy is."
1946,Chandler,Who are those people?
1956,Chandler,So how's it going there in Financial Services?
1958,Chandler,"Good, good. Listen, heh, I dunno what Shelley told you about me, but, uh... I'm not."
1962,Chandler,So- you can tell?
1964,Chandler,"So you don't think I have a, a quality?"
1988,Chandler,And this from the cry-for-help department. Are you wearing makeup?
1990,Chandler,"That's so funny, 'cause I was thinking you look more like Joey Tribbiani, man slash woman."
1995,Chandler,Do you know which one you're gonna be?
1997,Chandler,"Good luck, man. I hope you get it."
2005,Chandler,"Yes, every single one of them."
2012,Chandler,I thought it was $98.50.
2038,Chandler,"I'd just like to say that I'm totally behind this experiment. In fact, I'd very much like to butter your head."
2053,Chandler,"All right, I'm nine years old."
2055,Chandler,"We just finished this magnificent Thanksgiving dinner. I have--and I remember this part vividly--a mouthful of pumpkin pie, and this is the moment my parents choose to tell me they're getting divorced."
2057,Chandler,Yes. It's very difficult to appreciate a Thanksgiving dinner once you've seen it in reverse.
2079,Chandler,"Tonight, on a very special Blossom."
2085,Chandler,"Oh, you must stop shooping."
2088,Chandler,"No, I prefer to keep a safe distance from all this merriment."
2090,Chandler,"Ok, we all laughed when you did it with the stuffing, but that's not funny anymore."
2105,Chandler,The most unbelievable thing has happened. Underdog has just gotten away.
2107,Chandler,"No, no, the actual cartoon character. Of course the balloon. It's all over the news. Right before he reached Macy's, he broke free and was spotted flying over Washington Square Park. I'm goin' to the roof, who's with me?"
2109,Chandler,Come on. An 80-foot inflatable dog let loose over the city. How often does that happen?
2127,Chandler,Do either of you have the keys?
2165,Chandler,"Ok, Monica, only dogs can hear you now, so, look, the door's open. Here we go."
2174,Chandler,Now this feels like Thanksgiving.
2181,Chandler,Shall I carve?
2183,Chandler,"Ok, who wants light cheese, and who wants dark cheese?"
2191,Chandler,"I'd like to propose a toast. Little toast here, ding ding. I know this isn't the kind of Thanksgiving that all of you all planned, but for me, this has been really great, you know, I think because it didn't involve divorce or projectile vomiting. Anyway, I was just thinking, I mean, if you'd gone to Vail, and if you guys'd been with your family, if you didn't have syphilis and stuff, we wouldn't be all together, you know? So I guess what I'm trying to say is that I'm very thankful that all of your Thanksgivings sucked."
2206,Chandler,"Hey, that monkey's got a Ross on its ass!"
2212,Chandler,Might wanna open with the snowman.
2221,Chandler,"Nothing for you, you have Paolo. You don't have to face the horrible pressures of this holiday: desperate scramble to find anything with lips just so you can have someone to kiss when the ball drops!! Man, I'm talking loud!"
2224,Chandler,"It's just that I'm sick of being a victim of this Dick Clark holiday. I say this year, no dates, we make a pact. Just the six of us- dinner."
2226,Chandler,"Y'know, I was hoping for a little more enthusiasm."
2258,Chandler,"Wait a minute, wait a minute, I see where this is going, you're gonna ask him to New Year's, aren't you. You're gonna break the pact. She's gonna break the pact."
2260,Chandler,"Yeah, 'cause I already asked Janice."
2263,Chandler,"I snapped, okay? I couldn't handle the pressure and I snapped."
2265,Chandler,"I'm not saying it was a good idea, I'm saying I snapped!"
2267,Chandler,Too many jokes... must mock Joey!
2269,Chandler,"Aah, y'killing me!"
2274,Chandler,"Y'know, if you're gonna work late, I could look in on him for you."
2276,Chandler,"Okay, but if he asks, I'm not going to lie."
2295,Chandler,Fun Bobby? Your ex-boyfriend Fun Bobby?
2298,Chandler,I happen to know a Fun Bob.
2314,Chandler,"That's so weird, I had such a blast with him the other night."
2316,Chandler,"Yeah, we played, we watched TV.. that juggling thing is amazing."
2318,Chandler,With the balled-up socks? I figured you taught him that.
2320,Chandler,"Y'know, it wasn't that big a deal. He just balled up socks... and a melon..."
2357,Chandler,You remember Janice.
2382,Chandler,Kill me. Kill me now.
2388,Chandler,"Alright, Janice, that's it! Janice... Janice... Hey, Janice, when I invited you to this party I didn't necessarily think that it meant that we-"
2390,Chandler,I'm sorry you misunderstood...
2412,Chandler,"Ooh. Uh, I don't know how to tell you this, but she's in Monica's bedroom, getting it on with Max, that scientist geek. Ooh, look at that, I did know how to tell you."
2417,Chandler,And the moment of joy is upon us.
2427,Chandler,"Alright, somebody kiss me. Somebody kiss me, it's midnight! Somebody kiss me!"
2458,Chandler,Are there no conscious men in the city for you two?
2464,Chandler,"Y'know, we don't have to watch this. Weekend At Bernie's is on Showtime, HBO, and Cinemax."
2467,Chandler,"Exactly. Weekend At Bernie's! Dead guy getting hit in the groin twenty, thirty times! No?"
2469,Chandler,"Yeah, well, you wouldn't think it was cool if you're eleven years old and all your friends are passing around page 79 of 'Mistress Bitch.'"
2471,Chandler,You can say that because she's not your mom.
2482,Chandler,"Shhh, busy beaming with pride."
2484,Chandler,Now why would she say that's embarrassing?
2487,Chandler,THAT'S TOO MUCH INFORMATION!!
2491,Chandler,This is the way that I find out. Most moms use the phone.
2494,Chandler,...And then he burst into flames.
2501,Chandler,Please God don't let it be Kung Pow Chicken.
2503,Chandler,"Well, I think you need to come out of your shell just a little."
2506,Chandler,I know I am.
2517,Chandler,"Myyy mother, ladies and gentlemen."
2548,Chandler,What are you guys doing out here?
2586,Chandler,Oh my God.
2588,Chandler,I can't believe it. Paolo kissed my mom?
2594,Chandler,"I spent the entire day with you, why didn't you tell me?!"
2599,Chandler,"Y'know, of all my friends, no-one knows the crap I go through with my mom more than you."
2604,Chandler,I'm still mad at you for not telling me.
2633,Chandler,What was that?
2638,Chandler,"Yes, well, I expect this from her. Okay? She's always been a Freudian nightmare."
2640,Chandler,"Because it's complicated, it's complex- Hey, you kissed my mom!"
2642,Chandler,That's very funny. We done now?
2644,Chandler,"That would be no. Look, just because you played tonsil tennis with my mom doesn't mean you know her. Alright? Trust me, you can't talk to her."
2675,Chandler,"No, just knowing you're gonna be there is enough."
2677,Chandler,You kissed my best Ross! ...Or something to that effect.
2681,Chandler,Yeah. No. No...
2704,Chandler,Awful. Awful. Couldn'ta gone worse.
2706,Chandler,Pretty good! I told her.
2715,Chandler,"No-no-no-no, we're done."
2739,Chandler,"Ok, you're going to have to stop that, forever!"
2776,Chandler,"Ok, so it's just because it was my table, I have to buy a new one?"
2778,Chandler,"What rule? There's no rule, if anything, you owe me a table!"
2780,Chandler,"Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio"
2782,Chandler,"Well, let's just say the impressions you made in the butter left little to the imagination."
2784,Chandler,"What do you mean, like, buy it together?"
2786,Chandler,You think we're ready for something like that?
2788,Chandler,"Well, it's a pretty big commitment, I mean, what if one of us wants to move out?"
2790,Chandler,I'm not moving out.
2792,Chandler,"Yeah, yeah, it's just that with my last roommate Kip..."
2794,Chandler,"It's just that we bought a hibachi together, and then he ran off and got married, and things got pretty ugly."
2796,Chandler,"Aw, don't do that"
2830,Chandler,"More coffee over here, please!"
2845,Chandler,So what are you gonna do?
2847,Chandler,"Oh, yeah, you have to tell her."
2852,Chandler,That's patio furniture!
2856,Chandler,You pick one.
2858,Chandler,"Oh, so, forget about the birds, but big red insects suggest fine dining!"
2876,Chandler,"So, what do you think?"
2910,Chandler,"What are you still doing here? She just broke up with the guy, it's time for you to swoop in!"
2966,Chandler,"Yeah, get out!"
2973,Chandler,"Rachel, wait, wait."
2975,Chandler,Can I just say one thing?
2977,Chandler,That's a relatively open weave and I can still see your... nipular areas.
2995,Chandler,"No, she's still upset because I saw her boobies."
2997,Chandler,It was an accident. Not like I was across the street with a telescope and a box of donuts.
3001,Chandler,"Y'know, I don't know why you're so embarrassed, they were very nice boobies."
3005,Chandler,"Whoah whoah, back up there, Sparky. What'd you mean by that?"
3009,Chandler,"Uhhuh, how did you know that?"
3040,Chandler,"Y'know, I don't see that happening?"
3042,Chandler,Well I'm not showing you my 'tat.'
3050,Chandler,"Oh, it's nothing, it's a little thing... I hate that guy."
3073,Chandler,"Oh look, it's the woman we ordered."
3078,Chandler,"Uh, Joey's having an embolism, but I'd go for a Nip, y'know?"
3080,Chandler,"Joey, if I go first, I wanna be looking for my keys."
3089,Chandler,"So, who's up for a big game of Kerplunk?"
3104,Chandler,"C'mon, I'll show you to my room. ...That sounds so weird when it's not followed by ""No thanks, it's late."""
3112,Chandler,"Hey, Kicky. What're you doing?"
3114,Chandler,"Well, you're gonna."
3116,Chandler,"Are they end to end, or tall like pancakes?"
3118,Chandler,"Hey, you're not him. You're you. When they were all over you to go into your father's pipe-fitting business, did you cave?"
3120,Chandler,"No. You decided to go into the out-of-work actor business. Now that wasn't easy, but you did it! And I'd like to believe that when the right woman comes along, you will have the courage and the guts to say ""No thanks, I'm married."""
3122,Chandler,Yeah. I really do.
3145,Chandler,"Sorry, my my thing was in there with me."
3153,Chandler,Basically we just feel that he's...
3193,Chandler,Things sure have changed here on Waltons mountain.
3197,Chandler,"If I turn into my parents, I'll either be an alcoholic blond chasing after twenty-year-old boys, or... I'll end up like my mom."
3221,Chandler,"Come on, Ross, you gotta get back in the game here, ok? The Rachel thing's not happening, your ex-wife is a lesbianI don't think we need a third..."
3225,Chandler,I think it's winning.
3227,Chandler,"She'll love it. Go with the egg, my friend."
3229,Chandler,"No, it's suicide. The man's got an egg."
3238,Chandler,"Oh, uh, listen, about tonight..."
3240,Chandler,"Yes, I know, but her friend sounds like such a..."
3247,Chandler,...And what did you bring?
3252,Chandler,"Ok, I'm makin' a break for it, I'm goin' out the window."
3254,Chandler,Calm down? Calm down? You set me up with the woman that I've dumped twice in the last five months!
3283,Chandler,"Tell me it's ""you and me"" we."
3285,Chandler,"Ok, you can not do this to me."
3289,Chandler,I hope she throws up on you.
3292,Chandler,"Oh, what a crappy night!"
3296,Chandler,Joey's not a friend. He's...a stupid man who left us his credit card. Another drink? Some dessert? A big screen TV?
3303,Chandler,"No... no! And yet it did. Good-bye, Janice."
3308,Chandler,"Ok, well, this was very special."
3311,Chandler,Janice is gonna go away now.
3315,Chandler,"Oh, good, Joey's home now."
3341,Chandler,How can I dump this woman on Valentine's day?
3343,Chandler,"Oh, man. In my next life, I'm coming back as a toilet brush."
3345,Chandler,"Hi, Just Janice."
3367,Chandler,"Ok, Janice. Janice. Hey, Janice. Look, there's no way for me to tell you this. At least there's no new way for me to tell you this. I just don't things are gonna work out."
3371,Chandler,"Oh no, you see, actually it is."
3373,Chandler,"Oh, no I don't."
3375,Chandler,"I did, but..."
3412,Chandler,"Mrs. Tedlock. You're looking lovely today. And may I say, that is a very flattering sleeve length on you."
3421,Chandler,"So, it's a typical day at work. I'm inputting my numbers, and big Al calls me into his office and tells me he wants to make me processing supervisor."
3423,Chandler,So.... I quit.
3425,Chandler,Why? This was supposed to be a temp job!
3427,Chandler,"If I took this promotion, it'd be like admitting that this is what I actually do."
3429,Chandler,It doesn't matter. I just don't want to be one of those guys that's in his office until twelve o'clock at night worrying about the WENUS.
3431,Chandler,Weekly Estimated Net Usage Systems. A processing term.
3434,Chandler,I don't know. That's the thing. I don't know what I want to do. I just know I'm not going to figure it out working there.
3438,Chandler,Yeah... I just don't have that much cheffing experience. Unless it's an all-toast restaurant.
3444,Chandler,"Thanks, Phoebe. But I just don't really see myself in a big white hat."
3446,Chandler,Can you see my nipples through this shirt?
3451,Chandler,"Hey, you guys all know what you want to do."
3453,Chandler,"Hey, you guys in the living room all know what you want to do. You know, you have goals. You have dreams. I don't have a dream."
3459,Chandler,Was it formerly owned by a blonde woman and some bears?
3469,Chandler,Who are you going out with?
3475,Chandler,And he's not speaking metaphorically.
3491,Chandler,"Can you believe it? I mean, don't I seem like somebody who should be doing something really cool? You know, I just always pictured myself doing something...something."
3494,Chandler,"Ooh, you know, I had a grape about five hours ago, so I'd better split this with you."
3550,Chandler,It's OK. It's OK. I was always rooting for you two kids to get together.
3564,Chandler,"Thank you Helen, that'll be all."
3565,Chandler,"Last time I do that, I promise."
3950,Chandler,What are you crazy? That's a baby!
3953,Chandler,"Hey, you're gonna be fine. You're one of the most caring, most responsible men in North America. You're gonna make a great dad."
3956,Chandler,"Well, only if you order stuff."
3963,Chandler,There it is! So what're you gonna do?
3965,Chandler,And your friend Phoebe?
3967,Chandler,"Man, if you tried something like that on my birthday, you'd be starin' at the business end of a hissy fit."
3985,Chandler,"Alright, what have we learned so far?"
4000,Chandler,Did you see Betty?
4128,Chandler,"Okay, worst case scenario. Say you never feel like a father."
4130,Chandler,"Say your son never feels connected to you, as one. Say all of his relationships are affected by this."
4132,Chandler,"You know, you think I would."
4133,Chandler,What's up with the simian?
4137,Chandler,"No, no, you got zero points for 'IDNEY'."
4143,Chandler,Marcel swallowed a Scrabble tile.
4183,Chandler,We think he was trying to spell out 'MONKEY.'
4187,Chandler,"Hey, come on, you came through, you did what you had to do. That is very dad."
4201,Chandler,"Well, if you're gonna work for mechanics, those are the ones to work for."
4220,Chandler,"You know, I can't believe you. Linda is so great! Why won't you go out with her again?"
4222,Chandler,Is this still about her whole 'The Flintstones could've really happened' thing?
4224,Chandler,...little playthings with yarn?
4226,Chandler,Could you want her more?
4234,Chandler,We're notwe're not saying anything.
4241,Chandler,And then he did.
4246,Chandler,There just don't happen to be any women in our games.
4260,Chandler,"OK Phoebs, how many do you want?"
4282,Chandler,"Rach, Rach, we gotta settle."
4284,Chandler,"The... Jamestown colony of Virginia. You see, King George is giving us the land, so..."
4294,Chandler,"Yes, and I get my ya-yas from Ikea. You have to put them together yourself, but they cost a little less."
4299,Chandler,"Oh, did you get that from the 'I Love Rachel' pizzeria?"
4342,Chandler,"Um, ok... the... the fifth dentist caved and now they're all recommending Trident?"
4348,Chandler,"Oh yes, yes, we could play some other game... like, uh, I don't know... Pictionary?"
4360,Chandler,"That's alright, I'll take it. Bad things happen to me anyway. This way I can break 'em up with a movie."
4381,Chandler,"Hey, that's... that's 'joincidence' with a 'C'!"
4409,Chandler,"Y'know, I've had dates like this."
4462,Chandler,Airplane! Airport! Airport '75! Airport '77! Airport '79!
4511,Chandler,"They're still just friends, right?"
4516,Chandler,I can't believe we are even having this discussion.
4518,Chandler,"I mean, don't you think if things were gonna happen with Rachel, they would've happened already?"
4524,Chandler,I can't remember the last time I got a girl to take care of my monkey.
4526,Chandler,"Hey, y'know what you should do? You should take her back to the 1890's, when that phrase was last used."
4537,Chandler,Rachel lost Marcel.
4545,Chandler,"Okay, it's his first time out, so he's probably gonna wanna do some of the touristy things. I'll go to Cats, you go to the Russian Tea Room."
4622,Chandler,"Um, we're kind of having an emergency and we-we were looking for something..."
4624,Chandler,Yes have you seen any?
4631,Chandler,"Oh, nononowaitwaitwaitnono! Uh... we may not know anything about radiators per se, but we do have a certain amount of expertise in the heating and cooling... mileu."
4633,Chandler,"Yes, but these women are very hot, and they need our help! And they're very hot."
4635,Chandler,"Okay, from now on, you don't get to talk to other people."
4713,Chandler,Eh. I thought that was an alp.
4716,Chandler,"Yeah, well I went to boarding school with four hundred boys. Any sex I had would've involved a major lifestyle choice."
4719,Chandler,I can't believe you would actually say that. I would much rather be Mr.Peanut than Mr.Salty.
4725,Chandler,I feel violated. And not in a good way.
4727,Chandler,"I am telling you, years from now, schoolchildren will study it as one of the greatest first dates of all time. It was unbelievable! We could totally be ourselves, we didn't have to play any games..."
4735,Chandler,"No, interestingly enough her leaf blower picked up."
